Soil.w	Location.w	Sub_site.w	subsite_id.w	state	gps_n	gps_w	altitude	Visibilty.w	Temp.w	soil_condition	Collection_date.w	Day.w	collection_time.w
1239	MLBS	CT1	1m-South	VA	37.37234	-80.5199	1202	overcast	humid	average	4/07/17	185	12:18
1240	MLBS	D3	not applicable	VA	37.37740296	-80.52210297	1181	sunny	cool	average	6/06/17	157	17:43
1241	MLBS	D4	not applicable	VA	37.37737	-80.52207	1178	sunny	cool	average	7/06/17	158	9:14
1242	MLBS	D5	not applicable	VA	37.37735	-80.52204	1174	sunny	cool	average	7/06/17	158	9:18
1243	MLBS	D6	not applicable	VA	37.37732	-80.52205	1177	sunny	cool	average	7/06/17	158	9:33
1244	MLBS	D7	not applicable	VA	37.37734	-80.52205	1178	sunny	cool	average	7/06/17	158	9:26
1245	MLBS	D8	not applicable	VA	37.377438	-80.52205796	1181	sunny	cool	average	6/06/17	157	17:28
1246	MLBS	D9	not applicable	VA	37.37740204	-80.52205704	1181	sunny	cool	average	6/06/17	157	17:33
1247	MLBS	D10	not applicable	VA	37.37737999	-80.52194799	1181	sunny	cool	average	6/06/17	157	17:50
1248	MLBS	D11	not applicable	VA	37.3773	-80.52207	1181	sunny	cool	average	7/06/17	158	9:44
1249	MLBS	D12	not applicable	VA	37.37734697	-80.52205796	1181	sunny	cool	average	6/06/17	157	17:46
1250	MLBS	D13	D13	VA	37.37736	-80.52203	1172	sunny		wet	26/06/17	177	11:03
1251	MLBS	D14	Center	VA	37.37732	-80.52192	1176	sunny		wet	26/06/17	177	11:09
1252	MLBS	D14	1m-North	VA	37.37736	-80.5219	1174	sunny		wet	26/06/17	177	11:11
1253	MLBS	D14	1m-East	VA	37.37738	-80.52206	1183	sunny		wet	26/06/17	177	11:14
1254	MLBS	D14	1m-South	VA	37.37732	-80.52199	1180	sunny		wet	26/06/17	177	11:22
