Soil_sample	Site	Position	Location	Date	Day	Year	Time	Days_Since_Last_Rain	Visibility	Conditions	Temp
515	D17		MLBS	2/10/14	274	2014	15	2			
516	D17		MLBS	2/10/14	274	2014	15	2			
517	D18		MLBS	2/10/14	274	2014	15	2			
518	D18		MLBS	2/10/14	274	2014	15	2			
519	D18		MLBS	2/10/14	274	2014	15	2			
520	D15		MLBS	2/10/14	274	2014	18	2			
521	D15		MLBS	2/10/14	274	2014	18	2			
522	D15		MLBS	2/10/14	274	2014	18	2			
523	D15		MLBS	2/10/14	274	2014	18	2			
524	D15		MLBS	2/10/14	274	2014	18	2			
525	D16		MLBS	2/10/14	274	2014	18	2			
526	D16		MLBS	2/10/14	274	2014	18	2			
527	D16		MLBS	2/10/14	274	2014	18	2			
528	D16		MLBS	2/10/14	274	2014	18	2			
529	D16		MLBS	2/10/14	274	2014	18	2			
530	1		MLBS	3/10/14	275	2014	11	3			
531	1		MLBS	3/10/14	275	2014	11	3			
532	1		MLBS	3/10/14	275	2014	11	3			
533	A1		MLBS	17/06/15	167	2015	10	0	Cloudy	Light_rain_last_12_hr	Cool
533.2	A1		MLBS	17/06/15	167	2015	10	0	Cloudy	Light_rain_last_12_hr	Cool
534	A2		MLBS	17/06/15	167	2015	10	0	Cloudy	Light_rain_last_12_hr	Cool
534.2	A2		MLBS	17/06/15	167	2015	10	0	Cloudy	Light_rain_last_12_hr	Cool
535	M1		MLBS	17/06/15	167	2015	10	0	Cloudy	Light_rain_last_12_hr	Cool
536	C1		MLBS	17/06/15	167	2015	10	0	Cloudy	Light_rain_last_12_hr	Cool
536.2	C1		MLBS	17/06/15	167	2015	10	0	Cloudy	Light_rain_last_12_hr	Cool
